moves, running time
44, 0.388
44, 0.357
44, 0.469
44, 0.400
44, 0.411
44, 0.414
44, 0.342
44, 0.348
44, 0.347
44, 0.341
44, 0.347
44, 0.341
44, 0.342
44, 0.341
44, 0.344
44, 0.343
44, 0.343
44, 0.339
44, 0.345
44, 0.344
44, 0.338
44, 0.341
44, 0.348
44, 0.346
44, 0.343
44, 0.340
44, 0.339
44, 0.342
44, 0.339
44, 0.345
44, 0.349
44, 0.339
44, 0.339
44, 0.341
44, 0.339
44, 0.339
44, 0.347
44, 0.347
44, 0.350
44, 0.343
44, 0.341
44, 0.342
44, 0.337
44, 0.343
44, 0.350
44, 0.347
44, 0.341
44, 0.342
44, 0.339
44, 0.339
44, 0.343
44, 0.345
44, 0.345
44, 0.341
44, 0.341
44, 0.340
44, 0.340
44, 0.340
44, 0.345
44, 0.349
44, 0.339
44, 0.339
44, 0.395
44, 0.340
44, 0.355
44, 0.346
44, 0.347
44, 0.344
44, 0.343
44, 0.343
44, 0.342
44, 0.348
44, 0.344
44, 0.343
44, 0.344
44, 0.339
44, 0.342
44, 0.392
44, 0.338
44, 0.341
44, 0.347
44, 0.346
44, 0.341
44, 0.342
44, 0.340
44, 0.343
44, 0.339
44, 0.344
44, 0.347
44, 0.339
44, 0.341
44, 0.347
44, 0.339
44, 0.339
44, 0.346
44, 0.345
44, 0.341
44, 0.342
44, 0.343
44, 0.340
