board, heuristic, beam size, states
6, h1, 10, inf
6, h2, 10, inf
6, h3, 10, inf
6, h1, 20, inf
6, h2, 20, inf
6, h3, 20, inf
6, h1, 50, 112
6, h2, 50, 130
6, h3, 50, 140
6, h1, 100, 106
6, h2, 100, 96
6, h3, 100, 103
6, h1, 150, 96
6, h2, 150, 95
6, h3, 150, 101
6, h1, 200, 96
6, h2, 200, 94
6, h3, 200, 100
6, h1, 250, 94
6, h2, 250, 91
6, h3, 250, 94
6, h1, 300, 94
6, h2, 300, 90
6, h3, 300, 94
6, h1, 400, 94
6, h2, 400, 90
6, h3, 400, 94
6, h1, 500, 94
6, h2, 500, 90
6, h3, 500, 94
6, h1, 600, 94
6, h2, 600, 90
6, h3, 600, 94
