parameters,moves,time,memory
iterations=1 cutoff=200000,7215,11.252886056900024,114989590
iterations=1 cutoff=200000,4620,11.95337986946106,115368717
iterations=1 cutoff=200000,6447,11.355680227279663,115742680
iterations=10 cutoff=20000,978,13.65390396118164,118554229
iterations=10 cutoff=20000,0,11.245126485824585,102390876
iterations=10 cutoff=20000,1284,10.502827167510986,103716790
iterations=100 cutoff=2000,1070,13.46967101097107,117456187
iterations=100 cutoff=2000,684,10.121505975723267,101355204
iterations=100 cutoff=2000,0,9.628845453262329,95245505
iterations=1000 cutoff=200,0,13.188297510147095,81584866
iterations=1000 cutoff=200,0,10.330871820449829,41176537
iterations=1000 cutoff=200,0,13.654514074325562,44682190
iterations=10 cutoff=200000,1013,120.21739888191223,992258486
iterations=10 cutoff=200000,887,105.93534421920776,1041893563
iterations=10 cutoff=200000,855,113.83011603355408,1113969670
iterations=100 cutoff=20000,337,128.95193719863892,1007967409
iterations=100 cutoff=20000,419,128.73982405662537,923345186
iterations=100 cutoff=20000,415,129.15516448020935,919198774
iterations=1000 cutoff=2000,317,107.89504337310791,906429458
iterations=1000 cutoff=2000,263,126.29461073875427,614289437
iterations=1000 cutoff=2000,506,128.6303722858429,593800344
iterations=10000 cutoff=200,0,99.53766083717346,552705857
iterations=10000 cutoff=200,0,96.51234292984009,118362081
iterations=10000 cutoff=200,0,99.30678725242615,127818278
